No.,Name,Date,Location
426,Arizona Woodpecker,"Apr. 10, 2025","Santa Rita Lodge, AZ"
425,Rivoli’s Hummingbird,"Apr. 10, 2025","Santa Rita Lodge, AZ"
424,Black-chinned Hummingbird,"Apr. 10, 2025","Santa Rita Lodge, AZ"
423,Broad-billed Hummingbird,"Apr. 9, 2025","Agua Caliente Regional Park, AZ"
422,Greater Roadrunner,"Apr. 9, 2025","Agua Caliente Regional Park, AZ"
421,Painted Redstart,"Apr. 9, 2025","Mt. Lemmon, AZ"
420,Violet-green Swallow,"Apr. 9, 2025","Mt. Lemmon, AZ"
419,Olive Warbler,"Apr. 9, 2025","Mt. Lemmon, AZ"
418,Pygmy Nuthatch,"Apr. 9, 2025","Mt. Lemmon, AZ"
417,Yellow-eyed Junco,"Apr. 9, 2025","Mt. Lemmon, AZ"
416,Abert’s Towhee,"Apr. 9, 2025","Saguaro National Park, AZ"
415,Cactus Wren,"Apr. 9, 2025","Saguaro National Park, AZ"
414,Lucy’s Warbler,"Apr. 9, 2025","Saguaro National Park, AZ"
413,Black Skimmer,"Apr. 8, 2025","Costco, San Fransisco, CA"
412,Ridgway’s Rail,"Apr. 8, 2025","Costco, San Fransisco, CA"
411,Chestnut-backed Chickadee,"Apr. 7, 2025","San Fransisco, CA"
410,Black Oystercatcher,"Apr. 6, 2025","Beach, Mill Valley, CA"
409,Pacific Wren,"Apr. 6, 2025","Muir Woods, CA"
408,Steller’s Jay,"Apr. 6, 2025","Muir Woods, CA"
407,Black Turnstone,"Apr. 5, 2025","Cesar Chavez Park, Berkeley, CA"
406,Forster’s Tern,"Apr. 5, 2025","Cesar Chavez Park, Berkeley, CA"
405,Acorn Woodpecker,"Apr. 5, 2025","Oakland, CA"
404,Lark Sparrow,"Apr. 4, 2025","Richmond, CA"
403,Allen’s Hummingbird,"Apr. 4, 2025","Richmond, CA"
402,West Indian Whistling-Duck,"Feb. 20-27, 2025",Puerto Rico Tour
401,White-cheeked Pintail,"Feb. 20-27, 2025",Puerto Rico Tour
400,Scaly-naped Pigeon,"Feb. 20-27, 2025",Puerto Rico Tour
399,Plain Pigeon,"Feb. 20-27, 2025",Puerto Rico Tour
398,African Collared-Dove,"Feb. 20-27, 2025",Puerto Rico Tour
397,Key West Quail-Dove,"Feb. 20-27, 2025",Puerto Rico Tour
396,Smooth-billed Ani,"Feb. 20-27, 2025",Puerto Rico Tour
395,Mangrove Cuckoo,"Feb. 20-27, 2025",Puerto Rico Tour
394,Puerto Rican Lizard-Cuckoo,"Feb. 20-27, 2025",Puerto Rico Tour
393,Puerto Rican Nightjar,"Feb. 20-27, 2025",Puerto Rico Tour
392,Puerto Rican Mango,"Feb. 20-27, 2025",Puerto Rico Tour
391,Green Mango,"Feb. 20-27, 2025",Puerto Rico Tour
390,Green-throated Carib,"Feb. 20-27, 2025",Puerto Rico Tour
389,Puerto Rican Emerald,"Feb. 20-27, 2025",Puerto Rico Tour
388,Antillean Crested Hummingbird,"Feb. 20-27, 2025",Puerto Rico Tour
387,Sora,"Feb. 20-27, 2025",Puerto Rico Tour
386,Yellow-breasted Crake,"Feb. 20-27, 2025",Puerto Rico Tour
385,Limpkin,"Feb. 20-27, 2025",Puerto Rico Tour
384,Wilson’s Plover,"Feb. 20-27, 2025",Puerto Rico Tour
383,Lesser Black-backed Gull,"Feb. 20-27, 2025",Puerto Rico Tour
382,Sandwich Tern,"Feb. 20-27, 2025",Puerto Rico Tour
381,Brown Booby,"Feb. 20-27, 2025",Puerto Rico Tour
380,Western Cattle-Egret,"Feb. 20-27, 2025",Puerto Rico Tour
379,Broad-winged Hawk,"Feb. 20-27, 2025",Puerto Rico Tour
378,Puerto Rican Owl,"Feb. 20-27, 2025",Puerto Rico Tour
377,Puerto Rican Tody,"Feb. 20-27, 2025",Puerto Rico Tour
376,Puerto Rican Woodpecker,"Feb. 20-27, 2025",Puerto Rico Tour
375,Caribbean Elaenia,"Feb. 20-27, 2025",Puerto Rico Tour
374,Lesser Antillean Pewee,"Feb. 20-27, 2025",Puerto Rico Tour
373,Puerto Rican Flycatcher,"Feb. 20-27, 2025",Puerto Rico Tour
372,Loggerhead Kingbird,"Feb. 20-27, 2025",Puerto Rico Tour
371,Puerto Rican Vireo,"Feb. 20-27, 2025",Puerto Rico Tour
370,Black-whiskered Vireo,"Feb. 20-27, 2025",Puerto Rico Tour
369,Pearly-eyed Thrasher,"Feb. 20-27, 2025",Puerto Rico Tour
368,Red-legged Thrush,"Feb. 20-27, 2025",Puerto Rico Tour
367,Northern Red Bishop,"Feb. 20-27, 2025",Puerto Rico Tour
366,Indian Silverbill,"Feb. 20-27, 2025",Puerto Rico Tour
365,Scaly-breasted Munia,"Feb. 20-27, 2025",Puerto Rico Tour
364,Orange-cheeked Waxbill,"Feb. 20-27, 2025",Puerto Rico Tour
363,Puerto Rican Euphonia,"Feb. 20-27, 2025",Puerto Rico Tour
362,Grasshopper Sparrow,"Feb. 20-27, 2025",Puerto Rico Tour
361,Puerto Rican Tanager,"Feb. 20-27, 2025",Puerto Rico Tour
360,Puerto Rican Spindalis,"Feb. 20-27, 2025",Puerto Rico Tour
359,Puerto Rican Oriole,"Feb. 20-27, 2025",Puerto Rico Tour
358,Venezuelan Troupial,"Feb. 20-27, 2025",Puerto Rico Tour
357,Yellow-shouldered Blackbird,"Feb. 20-27, 2025",Puerto Rico Tour
356,Shiny Cowbird,"Feb. 20-27, 2025",Puerto Rico Tour
355,Elfin-woods Warbler,"Feb. 20-27, 2025",Puerto Rico Tour
354,Adelaide’s Warbler,"Feb. 20-27, 2025",Puerto Rico Tour
353,Yellow-faced Grassquit,"Feb. 20-27, 2025",Puerto Rico Tour
352,Puerto Rican Bullfinch,"Feb. 20-27, 2025",Puerto Rico Tour
351,Puerto Rican Amazon,"Feb. 20-27, 2025",Puerto Rico Tour
350,Black-faced Grassquit,"Feb. 20-27, 2025",Puerto Rico Tour
349,Caribbean Martin,"Feb. 20, 2025",Puerto Rico
348,White-tailed Tropicbird,"Feb. 20, 2025",Puerto Rico
347,Gray Kingbird,"Feb. 20, 2025",Puerto Rico
346,Magnificent Frigatebird,"Feb. 19, 2025",Puerto Rico
345,Bananaquit,"Feb. 19, 2025",Puerto Rico
344,Zenaida Dove,"Feb. 19, 2025",Puerto Rico
343,Greater Antillean Grackle,"Feb. 19, 2025",Puerto Rico
342,Muscovy Duck,"Jan. 30, 2025","Key Biscayne, FL"
341,Sandhill Crane,"Jan. 30, 2025","Key Biscayne, FL"
340,Yellow-throated Warbler,"Jan. 30, 2025","Biscayne NP, FL"
339,Royal Tern,"Jan. 30, 2025","Biscayne NP, FL"
338,Laughing Gull,"Jan. 29, 2025","Chili’s, FL"
337,White Ibis,"Jan. 28, 2025","Everglades, FL"
336,Purple Gallinule,"Jan. 28, 2025","Everglades, FL"
335,Wood Stork,"Jan. 28, 2025","Everglades, FL"
334,Boat-tailed Grackle,"Jan. 27, 2025",Somewhere in Florida
333,Tropical Parula,"Jan. 13, 2025","Laguna Vista, TX"
332,Painted Bunting,"Jan. 13, 2025","Laguna Vista, TX"
331,Hooded Oriole,"Jan. 13, 2025","Laguna Vista, TX"
330,Groove-billed Ani,"Jan. 13, 2025","Laguna Vista, TX"
329,Roseate Spoonbill,"Jan. 13, 2025","South Padre Island, TX"
328,Black-bellied Whistling-Duck,"Jan. 13, 2025","South Padre Island, TX"
327,Redhead,"Jan. 13, 2025","South Padre Island, TX"
326,Tricolored Heron,"Jan. 13, 2025","South Padre Island, TX"
325,Brown Pelican,"Jan. 13, 2025","South Padre Island, TX"
324,Common Gallinule,"Jan. 13, 2025","South Padre Island, TX"
323,Reddish Egret,"Jan. 13, 2025","South Padre Island, TX"
322,Clapper Rail,"Jan. 13, 2025","South Padre Island, TX"
321,Black-bellied Plover,"Jan. 13, 2025","South Padre Island, TX"
320,Vermilion Flycatcher,"Jan. 12, 2025","Santa Ana NWR, TX"
319,Cinnamon Teal,"Jan. 12, 2025","Santa Ana NWR, TX"
318,Verdin,"Jan. 12, 2025","Santa Ana NWR, TX"
317,Black-necked Stilt,"Jan. 11, 2025","Estero Llano SP, TX"
316,Curve-billed Thrasher,"Jan. 11, 2025","Estero Llano SP, TX"
315,Loggerhead Shrike,"Jan. 11, 2025","Estero Llano SP, TX"
314,Cave Swallow,"Jan. 11, 2025","Estero Llano SP, TX"
313,Common Pauraque,"Jan. 11, 2025","Estero Llano SP, TX"
312,Common Ground Dove,"Jan. 11, 2025","Estero Llano SP, TX"
311,White-tailed Kite,"Jan. 11, 2025","Estero Llano SP, TX"
310,American Avocet,"Jan. 11, 2025","Estero Llano SP, TX"
309,Yellow-crowned Night Heron,"Jan. 11, 2025","Estero Llano SP, TX"
308,Long-billed Curlew,"Jan. 11, 2025","Estero Llano SP, TX"
307,White-eyed Vireo,"Jan. 10, 2025","National Butterfly Center, TX"
306,Buff-bellied Hummingbird,"Jan. 10, 2025","National Butterfly Center, TX"
305,Audubon’s Oriole,"Jan. 10, 2025","Bentsen SP, TX"
304,Inca Dove,"Jan. 10, 2025","Bentsen SP, TX"
303,Gray Hawk,"Jan. 10, 2025","Bentsen SP, TX"
302,Clay-colored Thrush,"Jan. 9, 2025","Santa Margarita Ranch, TX"
301,Olive Sparrow,"Jan. 9, 2025","Santa Margarita Ranch, TX"
300,Altamira Oriole,"Jan. 9, 2025","Santa Margarita Ranch, TX"
299,American White Pelican,"Jan. 9, 2025","Santa Margarita Ranch, TX"
298,Ringed Kingfisher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
297,Green Kingfisher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
296,Green Jay,"Jan. 9, 2025","Santa Margarita Ranch, TX"
295,Golden-fronted Woodpecker,"Jan. 9, 2025","Santa Margarita Ranch, TX"
294,Anhinga,"Jan. 9, 2025","Santa Margarita Ranch, TX"
293,Scaled Quail,"Jan. 9, 2025","Santa Margarita Ranch, TX"
292,Great Kiskadee,"Jan. 9, 2025","Santa Margarita Ranch, TX"
291,Long-billed Thrasher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
290,Plain Chachalaca,"Jan. 9, 2025","Santa Margarita Ranch, TX"
289,Harris’s Hawk,"Jan. 9, 2025","Santa Margarita Ranch, TX"
