No.,Name,Date,Location
397,Mangrove Cuckoo,"Feb. 20-27, 2025",Puerto Rico Tour
396,Puerto Rican Lizard-Cuckoo,"Feb. 20-27, 2025",Puerto Rico Tour
395,Puerto Rican Nightjar,"Feb. 20-27, 2025",Puerto Rico Tour
394,Puerto Rican Mango,"Feb. 20-27, 2025",Puerto Rico Tour
393,Green Mango,"Feb. 20-27, 2025",Puerto Rico Tour
392,Green-throated Carib,"Feb. 20-27, 2025",Puerto Rico Tour
391,Puerto Rican Emerald,"Feb. 20-27, 2025",Puerto Rico Tour
390,Antillean Crested Hummingbird,"Feb. 20-27, 2025",Puerto Rico Tour
389,Sora,"Feb. 20-27, 2025",Puerto Rico Tour
388,Yellow-breasted Crake,"Feb. 20-27, 2025",Puerto Rico Tour
387,Limpkin,"Feb. 20-27, 2025",Puerto Rico Tour
386,Wilson’s Plover,"Feb. 20-27, 2025",Puerto Rico Tour
385,Lesser Black-backed Gull,"Feb. 20-27, 2025",Puerto Rico Tour
384,Sandwich Tern,"Feb. 20-27, 2025",Puerto Rico Tour
383,Brown Booby,"Feb. 20-27, 2025",Puerto Rico Tour
382,Western Cattle-Egret,"Feb. 20-27, 2025",Puerto Rico Tour
381,Broad-winged Hawk,"Feb. 20-27, 2025",Puerto Rico Tour
380,Puerto Rican Owl,"Feb. 20-27, 2025",Puerto Rico Tour
379,Puerto Rican Tody,"Feb. 20-27, 2025",Puerto Rico Tour
378,Puerto Rican Woodpecker,"Feb. 20-27, 2025",Puerto Rico Tour
377,Caribbean Elaenia,"Feb. 20-27, 2025",Puerto Rico Tour
376,Lesser Antillean Pewee,"Feb. 20-27, 2025",Puerto Rico Tour
375,Puerto Rican Flycatcher,"Feb. 20-27, 2025",Puerto Rico Tour
374,Loggerhead Kingbird,"Feb. 20-27, 2025",Puerto Rico Tour
373,Puerto Rican Vireo,"Feb. 20-27, 2025",Puerto Rico Tour
372,Black-whiskered Vireo,"Feb. 20-27, 2025",Puerto Rico Tour
371,Pearly-eyed Thrasher,"Feb. 20-27, 2025",Puerto Rico Tour
370,Red-legged Thrush,"Feb. 20-27, 2025",Puerto Rico Tour
369,Northern Red Bishop,"Feb. 20-27, 2025",Puerto Rico Tour
368,Indian Silverbill,"Feb. 20-27, 2025",Puerto Rico Tour
367,Scaly-breasted Munia,"Feb. 20-27, 2025",Puerto Rico Tour
366,Orange-cheeked Waxbill,"Feb. 20-27, 2025",Puerto Rico Tour
365,Puerto Rican Euphonia,"Feb. 20-27, 2025",Puerto Rico Tour
364,Grasshopper Sparrow,"Feb. 20-27, 2025",Puerto Rico Tour
363,Puerto Rican Tanager,"Feb. 20-27, 2025",Puerto Rico Tour
362,Puerto Rican Spindalis,"Feb. 20-27, 2025",Puerto Rico Tour
361,Puerto Rican Oriole,"Feb. 20-27, 2025",Puerto Rico Tour
360,Venezuelan Troupial,"Feb. 20-27, 2025",Puerto Rico Tour
359,Yellow-shouldered Blackbird,"Feb. 20-27, 2025",Puerto Rico Tour
358,Shiny Cowbird,"Feb. 20-27, 2025",Puerto Rico Tour
357,Elfin-woods Warbler,"Feb. 20-27, 2025",Puerto Rico Tour
356,Adelaide’s Warbler,"Feb. 20-27, 2025",Puerto Rico Tour
355,Yellow-faced Grassquit,"Feb. 20-27, 2025",Puerto Rico Tour
354,Puerto Rican Bullfinch,"Feb. 20-27, 2025",Puerto Rico Tour
353,Puerto Rican Amazon,"Feb. 20-27, 2025",Puerto Rico Tour
352,Black-faced Grassquit,"Feb. 20-27, 2025",Puerto Rico Tour
351,Caribbean Martin,"Feb. 20, 2025",Puerto Rico
350,White-tailed Tropicbird,"Feb. 20, 2025",Puerto Rico
349,Gray Kingbird,"Feb. 20, 2025",Puerto Rico
348,Magnificent Frigatebird,"Feb. 19, 2025",Puerto Rico
347,Bananaquit,"Feb. 19, 2025",Puerto Rico
346,Zenaida Dove,"Feb. 19, 2025",Puerto Rico
345,Greater Antillean Grackle,"Feb. 19, 2025",Puerto Rico
344,Indian Peafowl,"Jan. 30, 2025","Key Biscayne, FL"
343,Muscovy Duck,"Jan. 30, 2025","Key Biscayne, FL"
342,Sandhill Crane,"Jan. 30, 2025","Key Biscayne, FL"
341,Yellow-throated Warbler,"Jan. 30, 2025","Biscayne NP, FL"
340,Royal Tern,"Jan. 30, 2025","Biscayne NP, FL"
339,Laughing Gull,"Jan. 29, 2025","Chili’s, FL"
338,White Ibis,"Jan. 28, 2025","Everglades, FL"
337,Purple Gallinule,"Jan. 28, 2025","Everglades, FL"
336,Wood Stork,"Jan. 28, 2025","Everglades, FL"
335,Boat-tailed Grackle,"Jan. 27, 2025",Somewhere in Florida
334,Tropical Parula,"Jan. 13, 2025","Laguna Vista, TX"
333,Painted Bunting,"Jan. 13, 2025","Laguna Vista, TX"
332,Hooded Oriole,"Jan. 13, 2025","Laguna Vista, TX"
331,Groove-billed Ani,"Jan. 13, 2025","Laguna Vista, TX"
330,Roseate Spoonbill,"Jan. 13, 2025","South Padre Island, TX"
329,Black-bellied Whistling-Duck,"Jan. 13, 2025","South Padre Island, TX"
328,Redhead,"Jan. 13, 2025","South Padre Island, TX"
327,Tricolored Heron,"Jan. 13, 2025","South Padre Island, TX"
326,Brown Pelican,"Jan. 13, 2025","South Padre Island, TX"
325,Common Gallinule,"Jan. 13, 2025","South Padre Island, TX"
324,Reddish Egret,"Jan. 13, 2025","South Padre Island, TX"
323,Clapper Rail,"Jan. 13, 2025","South Padre Island, TX"
322,Black-bellied Plover,"Jan. 13, 2025","South Padre Island, TX"
321,Vermilion Flycatcher,"Jan. 12, 2025","Santa Ana NWR, TX"
320,Cinnamon Teal,"Jan. 12, 2025","Santa Ana NWR, TX"
319,Verdin,"Jan. 12, 2025","Santa Ana NWR, TX"
318,Black-necked Stilt,"Jan. 11, 2025","Estero Llano SP, TX"
317,Curve-billed Thrasher,"Jan. 11, 2025","Estero Llano SP, TX"
316,Loggerhead Shrike,"Jan. 11, 2025","Estero Llano SP, TX"
315,Cave Swallow,"Jan. 11, 2025","Estero Llano SP, TX"
314,Common Pauraque,"Jan. 11, 2025","Estero Llano SP, TX"
313,Common Ground Dove,"Jan. 11, 2025","Estero Llano SP, TX"
312,White-tailed Kite,"Jan. 11, 2025","Estero Llano SP, TX"
311,American Avocet,"Jan. 11, 2025","Estero Llano SP, TX"
310,Yellow-crowned Night Heron,"Jan. 11, 2025","Estero Llano SP, TX"
309,Long-billed Curlew,"Jan. 11, 2025","Estero Llano SP, TX"
308,White-eyed Vireo,"Jan. 10, 2025","National Butterfly Center, TX"
307,Buff-bellied Hummingbird,"Jan. 10, 2025","National Butterfly Center, TX"
306,Audubon’s Oriole,"Jan. 10, 2025","Bentsen SP, TX"
305,Inca Dove,"Jan. 10, 2025","Bentsen SP, TX"
304,Gray Hawk,"Jan. 10, 2025","Bentsen SP, TX"
303,Clay-colored Thrush,"Jan. 9, 2025","Santa Margarita Ranch, TX"
302,Olive Sparrow,"Jan. 9, 2025","Santa Margarita Ranch, TX"
301,Altamira Oriole,"Jan. 9, 2025","Santa Margarita Ranch, TX"
300,American White Pelican,"Jan. 9, 2025","Santa Margarita Ranch, TX"
299,Ringed Kingfisher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
298,Green Kingfisher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
297,Green Jay,"Jan. 9, 2025","Santa Margarita Ranch, TX"
296,Golden-fronted Woodpecker,"Jan. 9, 2025","Santa Margarita Ranch, TX"
295,Anhinga,"Jan. 9, 2025","Santa Margarita Ranch, TX"
294,Scaled Quail,"Jan. 9, 2025","Santa Margarita Ranch, TX"
293,Great Kiskadee,"Jan. 9, 2025","Santa Margarita Ranch, TX"
292,Long-billed Thrasher,"Jan. 9, 2025","Santa Margarita Ranch, TX"
291,Plain Chachalaca,"Jan. 9, 2025","Santa Margarita Ranch, TX"
290,Harris’s Hawk,"Jan. 9, 2025","Santa Margarita Ranch, TX"
289,Red-billed Pigeon,"Jan. 9, 2025","Santa Margarita Ranch, TX"
288,Black-throated Sparrow,"Jan. 9, 2025","Santa Margarita Ranch, TX"
287,White-tipped Dove,"Jan. 8, 2025","McAllen Airport Car Rental Parking Lot, TX"
286,Canyon Wren,"Dec. 27, 2024","Sedona, AZ"
285,Mountain Chickadee,"Dec. 26, 2024","Grand Canyon, AZ"
284,Gila Woodpecker,"Dec. 26, 2024","Sedona, AZ"
283,Bridled Titmouse,"Dec. 26, 2024","Sedona, AZ"
282,Rock Wren,"Dec. 25, 2024","Sedona, AZ"
281,Bewick’s Wren,"Dec. 25, 2024","Sedona, AZ"
280,Bushtit,"Dec. 25, 2024","Sedona, AZ"
279,White-crowned Sparrow,"Dec. 25, 2024","Sedona, AZ"
278,Juniper Titmouse,"Dec. 25, 2024","Sedona, AZ"
277,Woodhouse’s Scrub-Jay,"Dec. 25, 2024","Sedona, AZ"
276,Red-naped Sapsucker,"Dec. 25, 2024","Sedona, AZ"
275,Pomarine Jaeger,"Nov. 2, 2024","Gloucester Pelagic, MA"
274,Cory’s Shearwater,"Nov. 2, 2024","Gloucester Pelagic, MA"
273,Northern Gannet,"Oct. 19, 2024","Gloucester Pelagic, MA"
272,Black-naped Oriole,"Oct. 1-16, 2024",Vietnam
